image_path,emotion,valence,arousal,color,lighting,composition,situation
/kaggle/working/Images/Abstract Art/0007297_SallyGabori-DibirdibiCountry.jpg,Excited,Positive,High,"The artwork uses warm and cool tones with high saturation, creating vivid and eye-catching contrasts.","The contrast between light and dark is sharp, enhancing the vibrancy of the colors against each other.","The composition is dynamic, with an asymmetrical arrangement of shapes that guides the viewer's eye across the canvas.","The image showcases an abstract composition filled with vibrant color blocks. Dominated by warm hues of orange, pink, and yellow, contrasted with cooler teal and black shapes, it presents a dynamic interplay of forms and tones."
/kaggle/working/Images/Abstract Art/0007303_RashidAlKhalifa-HomagetoFragmentedAbstractionII.jpg,Excited,Positive,High,"Bright, warm tones with high saturation and contrast.","Light appears diffused, with soft contrasts and undefined sources.","Dynamic, with an off-center focus that draws the eye.","The image features an abstract composition, vibrant in color, with swirling forms that suggest dynamic movement. Dominant hues of electric blue and bright yellow clash and blend, creating a striking visual interplay."
/kaggle/working/Images/Abstract Art/0007430_AlvarAalto-WoodReliefExperiments.jpg,Excited,Positive,High,"Cool monochrome tones with stark contrast, emphasizing form and depth.","Sharp contrasts, with light defining the edges and enhancing dimensionality.",Asymmetrical with a dynamic interplay between organic and geometric elements.,"This image displays a series of black-and-white abstract designs. The left side showcases flowing and layered ribbon-like forms, while the right side features vertical, fan-like structures. The background provides a textured, wood-like surface, enhancing the dynamic, architectural feel."
/kaggle/working/Images/Abstract Art/0007530_PrincessFahrelnissaZeid-Untitled.jpg,Excited,Positive,High,"The painting employs warm and cool tones with high saturation, creating a striking contrast that enlivens the overall visual impact.","Light distribution is even, with minimal shadow, emphasizing the vivid color palette and enhancing visual clarity.","The composition is dynamic, with an asymmetric arrangement that gives the piece an energetic flow and sense of movement.","The artwork is a vibrant, kaleidoscopic mosaic of geometric shapes and patterns. Bold colors overlap and intertwine, creating a dynamic visual symphony. Triangles, circles, and irregular forms converge, resulting in a lively and engaging composition."
/kaggle/working/Images/Abstract Art/0008077_WassilyKandinsky-Thirty.jpg,Calm,Positive,Low,"High contrast black and white, with stark separation and balance.",Absence of traditional light; contrast created purely by color juxtaposition.,Symmetrical grid creating structured dynamism and varied focus points.,"A grid of black and white squares, each filled with unique abstract lines and shapes. Curved and straight elements intertwine, creating a rhythm of contrasting forms and a sense of visual puzzle within the geometric framework."
/kaggle/working/Images/Abstract Art/0008088_MarinGherasim-RebuildingtheTower.jpg,Calm,Positive,Low,"A mix of warm and cool tones with low saturation, creating a moody atmosphere.","Minimal light source, with subtle contrasts creating gentle depth.","Central focus with a dynamic balance between large, solid shapes.","The image features abstract geometric shapes with a central figure resembling a simplified human form. Dark and muted tones dominate the background, contrasting with lighter shades in the foreground, creating an intriguing visual tension."
/kaggle/working/Images/Abstract Art/0008111_IonAlinGheorghiu-Untitled.jpg,Excited,Positive,High,"Bold, saturated colors with a mix of warm and cool tones inject vibrancy against the dark backdrop.",Subtle light-dark contrast enhances depth without a definitive light source.,"Dynamic composition with a sense of layered depth, focused on intersecting forms.","The artwork presents an abstract composition with dynamic interplay of shapes and colors. Swirling forms overlap, creating a sense of movement and energy. Rich hues of red, blue, and green contrast against a dark, textured background."
/kaggle/working/Images/Abstract Art/0008294_JanosMattis-Teutsch-Composition.jpg,Excited,Positive,High,"Warm yellow contrasts cool blue and green tones, with medium saturation and balanced contrast throughout.","Subtle transitions create a soft interplay of light and shadow, adding depth.","An asymmetrical, dynamic layout draws the eye across intersecting lines and circular forms.","The artwork features an abstract arrangement of geometric shapes overlapping within a rectangular canvas. Curves and straight lines intertwine, showcasing a dominant yellow hue against a background of soothing blues and greens, accented by hints of red and black."
/kaggle/working/Images/Abstract Art/0008367_AlekosKontopoulos-Delphi15.jpg,Calm,Positive,Low,"Dominated by cool, muted hues with low saturation, enhancing a somber and reflective mood.","Soft shadows and diffused light contribute to a gentle, subtle contrast, fostering a tranquil environment.","The composition is dynamic with an emphasis on the horizontal distribution of elements, guiding the viewer through the scene.","The image portrays an abstract figure with an arm resting. The background features rectangular shapes in muted colors. The overall texture suggests an aged, rustic feel, with subdued tones creating a contemplative atmosphere."
/kaggle/working/Images/Abstract Art/0008380_TihamerGyarmathy-MiraclesofEvolution-Africa.jpg,Excited,Positive,High,"Warm and vivid tones dominate, with a mix of saturated greens and yellows, providing a lively, invigorating contrast.","Light filters through in a soft, dappled manner, suggesting sunlight interacting with foliage, which enhances depth.","The composition is dynamic, with a central focus that draws the eye to the middle, suggesting layers of depth and complexity.","The image features an abstract composition of vibrant greens and yellows. It is a complex interplay of textures and patterns, resembling foliage or a tapestry of light filtering through leaves, evoking a sense of nature and growth."
/kaggle/working/Images/Abstract Art/0008775_DanielSambo-Richter-Mesh.jpg,Calm,Positive,Low,"Predominantly cool tones with desaturated reds and greys, contrasting against deeper blacks.","Minimal light and shadow contrast, focusing more on color variation and texture.","Dynamic and asymmetrical, with a strong central focus on the intersecting lines.","The image presents an abstract composition featuring a black rectangular block crossed by two grey diagonal lines. Surrounding it are vertical stripes in red and pale tones with blotchy patterns, creating a visually engaging atmosphere."
/kaggle/working/Images/Abstract Art/0008793_LudwigaNesterovich-«Surmounting».jpg,Calm,Positive,Low,"The artwork employs cool tones with muted saturation, enhancing its calming effect.","The use of light is subtle, with gentle contrasts that highlight the shapes.","The layout is dynamic yet harmonious, with elements flowing naturally across the canvas.","The image showcases abstract, organic shapes with soft pink and green hues. It features fluid lines and subtle textures, creating a serene atmosphere. The composition is both minimalistic and expressive, bringing a sense of balance."
/kaggle/working/Images/Abstract Art/0008889_IonAlinGheorghiu-Composition.jpg,Calm,Positive,Low,"The palette features cool and muted tones with occasional bursts of warm colors, providing a subdued yet rich spectrum.","The interplay of light and dark is balanced, with subtle shadowing that casts a soft, atmospheric feel.","The layout is dynamic, with a central focus that draws the eye inward, yet seamlessly blends with surrounding elements.","The image presents an abstract composition with a mixture of organic and geometric shapes. Various textures and patterns intermingle, creating a layered and complex visual. Prominent earth tones and contrasting dark shades contribute to its enigmatic aura."
/kaggle/working/Images/Abstract Art/0008975_JanosMattis-Teutsch-Composition.jpg,Excited,Positive,High,"The artwork uses warm tones with high saturation, creating strong contrast and vibrancy.","There is a subtle play of light and shadow, enhancing depth without a clear source.","The composition is dynamic with intersecting lines and overlapping shapes, creating movement.","The image features an abstract composition with bold shapes, vivid colors, and dynamic brushstrokes. Bright yellows, reds, and blues intertwine, forming a vibrant, eye-catching pattern. The overall effect is energetic and visually engaging, inviting exploration."
/kaggle/working/Images/Abstract Art/0009004_WassilyKandinsky-Improvisation31(SeaBattle).jpg,Excited,Positive,High,Warm and cool tones; vibrant saturation; high contrast.,"Diffused light with soft transitions, gentle light-dark contrast.","Dynamic and asymmetrical, with elements guiding the eye across the canvas.","The abstract painting is a symphony of swirling shapes and vibrant colors, capturing dynamic movement and energy. The fusion of forms creates a kaleidoscope of blues, yellows, reds, and greens, intermingling in a dance of visual excitement."
/kaggle/working/Images/Abstract Art/0009143_EvanMagar-embodiment.jpg,Calm,Positive,Low,"Cool tones dominate with muted pastels, enhancing a tranquil atmosphere.","Soft light highlights key figures, creating gentle contrasts.","Symmetrical, guiding the eye towards the central painting.","The image presents a surreal, dreamlike scene with figures engaged in a symbolic ritual. A childlike figure stands between two adults in contrasting robes, surrounded by mystical elements. A geometric arch frames a detailed, central painting."
/kaggle/working/Images/Abstract Art/0009202_VictorPasmore-SquareMotifGreen&Lilac.jpg,Contentment,Positive,Low,"The artwork utilizes cool tones with subdued saturation, featuring a contrast between deep greens and muted browns.",The contrast between light shapes and the dark background provides a gentle play of light.,"The composition is dynamic and asymmetrical, with shapes shifting gradually to the canvas's center-right.","The image presents an abstract composition of geometric shapes arranged against a deep green backdrop. Squares, triangles, and rectangles are interspersed with space-like white dots, evoking a sense of open, uncharted cosmos."
/kaggle/working/Images/Abstract Art/0009279_JanosMattis-Teutsch-Composition.jpg,Excited,Positive,High,Cool tones with vibrant blues and pinks; high contrast.,"Soft contrasts, subtle light play.","Dynamic, central focus on intertwining shapes.","The image features an abstract composition with intertwining shapes in vibrant hues of blue, pink, and black. It evokes a sense of fluid movement, with dynamic forms creating a harmonious visual rhythm against a softly textured background."
/kaggle/working/Images/Abstract Art/0009471_WassilyKandinsky-Untitled(Firstabstractwatercolor).jpg,Excited,Positive,High,"A mix of warm and cool tones, with high saturation and striking contrast.","Light is evenly distributed with minimal contrast, allowing colors to take precedence.","The layout is dynamic with no central focus, leading the eye across the canvas.","The image features an abstract composition with swirling shapes, bold colors, and dynamic brushstrokes. Various forms interlock and overlap, creating a sense of motion and depth. The artwork evokes a sense of chaos and energy."
/kaggle/working/Images/Abstract Art/0009604_FrancisPicabia-ThursdayJeudi.jpg,Excited,Positive,High,"Cool tones with high saturation dominate, contrasted by a vibrant yellow, creating visual tension.","A sharp contrast between light and dark enhances depth, with an ambiguous light source.","The composition is dynamic, with a central focus on the vibrant yellow form amidst swirling blues.","The image features abstract forms rendered in dynamic hues. A dominant yellow shape contrasts with enveloping blues and whites, drawing the eye. The composition suggests motion and balance, with a celestial, ethereal undertone."
/kaggle/working/Images/Abstract Art/0009713_AlekosKontopoulos-Thenightcomes.jpg,Excited,Positive,High,Dominant warm tones with contrasting cool blues; moderate saturation with stark contrasts.,"Subtle interplay between light and shade, creating soft transitions.","Asymmetrical and dynamic, emphasizing interaction between shapes.","The painting presents an abstract composition with interlocking rectangles in varying hues. Dominant yellow and blue shapes interweave with earthy tones, creating a complex visual tapestry. Contrasting colors and structural forms evoke a sense of movement and depth."
/kaggle/working/Images/Abstract Art/0009750_ConstantinBlendea-Untitled.jpg,Calm,Positive,Low,"Warm, muted tones with low saturation, enhancing a subdued and serene ambiance.","Soft shadows and even lighting evoke a gentle, tranquil atmosphere.","Central focus with a balanced, symmetrical arrangement of geometric forms.","The image depicts an abstract landscape with structured shapes resembling buildings against a dusky, earthy horizon. The muted, warm tones convey a sense of quietude, while the geometrical forms create a rhythmic and harmonious composition."
/kaggle/working/Images/Abstract Art/0009922_MarsdenHartley-MusicalTheme(OrientalSymphony).jpg,Excited,Positive,High,"Dominant warm tones of red and yellow contrast with cooler greens and blues, creating a vibrant saturation.",Soft transitions between light and dark areas add depth without sharp contrasts.,"The arrangement is dynamic, with intersecting lines and shapes guiding the viewer's eye across the canvas.","The artwork presents a kaleidoscope of geometric shapes intertwined in a vibrant tapestry of warm tones. Overlapping patterns create a complex and dynamic visual, exuding a sense of movement and energy."
/kaggle/working/Images/Abstract Art/0010086_FernandoLanhas-Untitled.jpg,Calm,Positive,Low,"Cool tones of dark green and light grey, with low saturation and high contrast.","Minimal light and shadow, emphasizing flat forms with subtle lighting.","Asymmetrical and dynamic, creating movement and tension.","The image features bold geometric shapes, primarily circles and triangles, in a minimalist style. Dark green and light grey tones create a striking contrast. The composition is abstract, with dynamic intersecting curves and lines, evoking a sense of balance."
/kaggle/working/Images/Abstract Art/0010114_PauleVézelay-L'Animal.jpg,Calm,Positive,Low,"The artwork uses warm and cool tones with moderate saturation, giving a balanced contrast that soothes the viewer.","Subtle contrasts of light and shadow highlight the forms, with softly blended edges adding depth.","The composition is dynamic, with elements scattered across the canvas, drawing the eye smoothly through the piece.","The image features an abstract composition of fluid shapes and swirling lines, blending soft pinks, blues, and earthy browns. There's a dynamic interplay between curved forms and angular elements, creating a harmonious yet intriguing visual narrative."
/kaggle/working/Images/Abstract Art/0010117_ArthurBeecherCarles-Landscape.jpg,Excited,Positive,High,"A mix of cool and warm tones, with moderate saturation and contrast, making the colors vibrant yet balanced.","Light subtly penetrates the dense colors, highlighting the interplay between light and dark with a soft contrast.","The composition is dynamic with no central focal point, encouraging the eye to wander freely across the canvas.","The painting features an abstract landscape with thick, textured brushstrokes. Rich blues, greens, and yellows blend with earthy tones, creating a vivid, dynamic scene. The composition feels energetic and full of movement, evoking a sense of natural chaos."
/kaggle/working/Images/Abstract Art/0010203_ConstantinFlondor-EnergyField.jpg,Calm,Positive,Low,"Warm tones dominate, with subdued saturation creating a calming effect.","Minimal shadow; the uniform light creates a flat, serene surface.","Dynamic yet balanced, guiding the eye with varied line directions.","The image showcases an abstract composition of geometric patterns and lines in earthy tones. Dominated by warm yellows, oranges, and pale pinks, the piece features intricate linear motifs suggesting rhythm and movement, evoking an organic yet structured flow."
/kaggle/working/Images/Abstract Art/0010470_ValentinKhrushch-Fish.jpg,Calm,Positive,Low,"The painting uses cool tones with low saturation, enhancing a subdued and calming effect.","Gentle light enhances soft contrasts, casting a tranquil ambiance with understated shadows.","The arrangement is dynamic with subtle asymmetry, inviting exploration across different planes.","The image displays an abstract composition with layered textures in earthy greens, muted blues, and subtle whites. Vertical and horizontal elements interplay, creating a blend of shapes, suggesting a tranquil yet intriguing atmosphere."
/kaggle/working/Images/Abstract Art/0010572_WassilyKandinsky-AnangeloftheLastJudgement.jpg,Excited,Positive,High,"Bright and warm tones dominate, with high saturation enhancing the visual intensity.","There is a clear contrast between light and dark areas, with sharp transitions adding drama.","The composition is dynamic and asymmetrical, creating an energetic visual flow.","The image bursts with vibrant colors and dynamic forms, featuring swirling abstract shapes that blend into each other. The composition is lively and energetic, capturing a sense of movement and spontaneity."
/kaggle/working/Images/Abstract Art/0011250_EtienneHajdu-UnitedeTension.jpg,Calm,Positive,Low,"Monochromatic, cool tones dominate, with medium contrast between shadows and highlights.","Soft lighting emanates from above, accentuating the contours and depth of the forms.","The design is dynamic, featuring a scattered arrangement of elements creating visual interest.","The image showcases an abstract relief artwork, characterized by clusters of rounded shapes and intersecting lines. The metallic surface has a smooth texture, casting subtle shadows. The forms exhibit a rhythmic arrangement, evoking a sense of movement."
/kaggle/working/Images/Abstract Art/0011315_BenNicholson-Feb55.jpg,Calm,Positive,Low,"A mix of warm and cool tones with balanced saturation, offering a harmonious contrast.","Soft interplay of light and shadow, enhancing the form contrasts gently.","Dynamic composition with interconnected shapes, creating movement and intrigue.","An abstract composition with intersecting shapes and varied tones. Geometric forms in red, blue, yellow, and grey create a dynamic interplay against a textured background, conveying complexity and depth."
/kaggle/working/Images/Abstract Art/0011332_WassilyKandinsky-Blue.jpg,Excited,Positive,High,"Dominated by cool blues with contrasting warm reds and yellows, the artwork exudes high saturation and bold contrast.","Subtle gradations of light and shadow add depth, with a soft light diffusion highlighting the bold forms.","A dynamic layout with intersecting shapes creates a layered and lively visual experience, drawing the eye through the piece.","This vibrant abstract artwork features a dynamic composition of geometric shapes, including triangles, circles, and rectangles in vivid reds, blues, and yellows. The elements appear to float in a deep cerulean space, creating a sense of movement and energy."
/kaggle/working/Images/Abstract Art/0011348_PratapSingh-Heaven-III.jpg,Frustrated,Negative,High,"Dominated by warm, saturated red tones, lending intensity and passion to the piece.","Subtle variations in light and shadow, creating soft contrasts within the red.","Dynamic and swirling, with no central focus, drawing the eye across the entirety.","The image is a vivid abstract painting in deep red tones, filled with intricate patterns and textures. Swirling forms intermingle, creating a sense of depth and movement. An intense aura emanates from the rich hues."
/kaggle/working/Images/Abstract Art/0011526_HenriMatisse-TheYellowCurtain.jpg,Calm,Positive,Low,"Warm tones of yellow contrast with cool blue and teal, providing balance and harmony.","Subtle use of light creates soft transitions, enhancing the calmness of the scene.","Dynamic with a central focus on interlocking shapes, leading the eye across the canvas.","The image features an abstract composition with large, organic shapes in blue and yellow set against a teal background. A vertical patterned strip on the left adds contrast. The soft curves evoke a sense of fluidity and movement."
"/kaggle/working/Images/Abstract Art/0011756_RoyLichtenstein-Modularpaintingwithfourpanels,#6.jpg",Calm,Positive,Low,"Cool tones with moderate saturation, providing a calm yet stimulating contrast.","Subtle contrast, focusing more on form than on light variations.","Symmetrical layout with repeated elements, establishing balance.","The artwork showcases a geometric pattern of overlapping arcs and lines, creating an intricate, rhythmic design. The palette consists of muted greens, whites, and blacks that form an optical illusion, intriguing the viewer’s eye."
/kaggle/working/Images/Abstract Art/0011801_PauleVézelay-ThreeFormsonPinkandBrown.jpg,Contentment,Positive,Low,"The colors are warm and vibrant, with high saturation providing bold contrast.","There is subtle shadowing, creating a soft contrast that enhances depth.","The composition is symmetrical, with each shape positioned equidistantly.","The image consists of three abstract shapes on a textured background. Each shape is uniquely colored—green, yellow, and black. The textured backdrop is a mix of brown and muted red, adding depth and intrigue."
/kaggle/working/Images/Abstract Art/0011908_MichelSeuphor-Hymne.jpg,Excited,Positive,High,"Warm golden tones contrast sharply with the cool, dark background, adding vibrant energy and depth to the piece.","A light source highlights the golden hues, producing a stark contrast and amplifying depth and dimensionality.","The vertical orientation of lines creates a dynamic, yet symmetrical balance, guiding the viewer's eye smoothly through the artwork.","The image presents an abstract composition of vertical, golden bands against a dark backdrop. These bands exhibit repetitive patterns, creating a rhythmic visual cadence. The interplay of light and dark enhances its dynamic and captivating quality."
/kaggle/working/Images/Abstract Art/0011952_KarloZvirynsky-Abstraction.jpg,Sad,Negative,Low,"Cool tones dominate, with low saturation and muted contrast.","Low-key lighting enhances the dark contrast, with subtle highlights.","Dynamic and asymmetrical, guiding the eye across the canvas.","The image presents an abstract composition with dark hues. There are geometric shapes and textured elements dispersed across a predominantly black background. Sparse highlights of white and muted colors provide contrast, evoking a mysterious, somber atmosphere."
/kaggle/working/Images/Abstract Art/0012177_FonsHeijnsbroek-April1999-nr.1..jpg,Calm,Positive,Low,Cool tones with muted saturation and gentle contrast.,"Soft light, subtle contrasts.",Central focus with symmetrical balance.,"The image features an abstract composition of concentric shapes with broad brushstrokes. Dominated by muted blue, beige, and brown tones, it creates a sense of calmness. The central focus invites introspection through its layered, circular patterns."
/kaggle/working/Images/Abstract Art/0012420_JohnFerren-Untitled.jpg,Calm,Positive,Low,"Cool blues and greens mix with warm pinks and yellows, offering moderate saturation and gentle contrast.","Minimal evidence of shadow, with a soft light illuminating the colors and creating subtle contrasts.","The composition is dynamic with a central focus, where lines converge to create balance amid abstraction.","The artwork features abstract forms with vibrant color swatches in blue, pink, green, and yellow. These colors are complemented by dynamic, intersecting lines radiating from a central point, creating a sense of movement and energy."
/kaggle/working/Images/Abstract Art/0012564_PaulNash-TheShore.jpg,Calm,Positive,Low,"Colors are warm and muted, with low saturation, creating a harmonious blend.","There is a soft light source, generating gentle contrasts and a subtle interplay of shadows.","The composition is dynamic, with diagonal lines leading the eye across the canvas.","The image displays an expansive landscape with geometric landforms and a horizon. Muted earthy and pastel tones dominate, with sharp lines defining sections of land. A distant sun faintly illuminates the scene, adding a serene ambiance."
/kaggle/working/Images/Abstract Art/0012578_ArthurDove-MorningSun.jpg,Excited,Positive,High,Dominated by warm tones with high saturation; contrasts between bright yellows and rich browns.,"The sun is a central light source, creating a vivid contrast with sharp-edged shadows.","Dynamic, with a central focus on the sun; fields lead the eye inward.","The painting depicts a vibrant landscape with rolling fields under a radiant sun. The sky is dominated by a bright, expressive sunburst, which casts warm light over the undulating terrain and deep shadows on the dark tree line."
/kaggle/working/Images/Abstract Art/0012711_AlexanderCalder-UNTITLED.jpg,Calm,Positive,Low,"Warm yellow tones contrast with monochromatic black and gray, offering both visual warmth and stark contrast.","Light source is subtle, with gentle gradation between light and dark areas, creating soft contrasts.","The composition is dynamic, with an asymmetrical arrangement and central focus on the abstract shapes.","The artwork features abstract forms with black ovals and sweeping shapes on a white and gray background, contrasted by a vibrant yellow sky. A small black dot hovers above, adding a sense of mystery and curiosity."
/kaggle/working/Images/Abstract Art/0012802_KarloZvirynsky-NightI.jpg,Aroused,Positive,High,"Predominantly cool tones with deep blues and greens, contrasted by warm yellows and reds, enhancing visual tension.","Subtle light-dark contrast is present, with soft transitions emphasizing some elements over others without distinct light sources.","The composition is dynamic, with scattered elements creating a swirling, engaging scene filled with energy.","The painting features an abstract assembly of geometric shapes and symbols against a dark background. Elements like crescents, stars, and organic forms are scattered, creating a sense of controlled chaos and intrigue."
/kaggle/working/Images/Abstract Art/0012878_FernandoLanhas-Untitled.jpg,Calm,Positive,Low,"Cool tones dominate, primarily in blues and grays, creating a soothing, calming atmosphere with moderate saturation.","Light's starkness enhances contrast, casting deep shadows and revealing the geometric forms' dimensionality.","The composition is dynamic, with angular forms directing attention towards a distant focal point, creating movement and depth.","The image presents a geometric, abstract scene where a series of stark, angular forms extend towards a blue-hued expanse. The interplay between light and shadow brings a three-dimensional quality to the otherwise flat surface, imbuing the piece with depth."
/kaggle/working/Images/Abstract Art/0013136_FonsHeijnsbroek-OrganicwithLove-No.6.555.jpg,Calm,Positive,Low,"The use of warm earthy tones mixed with cool blues provides a balanced, soothing palette.","The piece features a soft contrast, with gentle transitions between hues, enhancing its calming nature.","The composition is dynamic, with interwoven lines creating a sense of movement and depth.","The image showcases an abstract composition with intertwining, curved lines and forms. Earthy tones of green, brown, and blue dominate, giving a natural and organic feel. The lines flow seamlessly, creating an aura of movement and fluidity."
/kaggle/working/Images/Abstract Art/0013263_JohnFerren-Composition(Brun).jpg,Sad,Negative,Low,"Cool, subdued tones with moderate contrast create a somber mood.",Subtle contrasts with a soft interplay of light and dark.,"Dynamic, with a central focus on intersecting lines and shapes.","The image presents bold, abstract brushwork against a dark backdrop. Stark, linear strokes in white and earthy tones create a dynamic composition that conveys movement and depth. The textured background enhances the rough visual arrangement."
/kaggle/working/Images/Abstract Art/0013421_PaulKlee-Therumors.jpg,Excited,Positive,High,"A mix of warm and cool tones, with balanced saturation and contrast.","Soft lighting with gentle shadows, enhancing depth.","Dynamic and balanced, with an asymmetrical distribution of shapes.","The image presents an abstract composition of geometric shapes and vibrant colors. Circles, triangles, and rectangles overlap in a complex interplay. Predominantly warm tones contrast with deep blues, creating a lively, harmonious scene."
/kaggle/working/Images/Abstract Art/0013559_ConstantinFlondor-Study(FieldSpace).jpg,Excited,Positive,High,"Dominated by warm tones, with contrasting elements of cooler blues and blacks.","Minimal light-dark contrast, emphasizing flatness and depth through color.","The arrangement is dynamic, with lines radiating outward and creating tension.","A dynamic abstract composition features an array of lines and shapes in warm hues of red and orange. Black and blue lines intersect and diverge, creating a landscape-like impression beneath a textured surface."
/kaggle/working/Images/Abstract Art/0013589_LeeKrasner-StillLife.jpg,Excited,Positive,High,"Warm and cool tones blend with moderate saturation, creating contrast.","Soft lighting creates gentle contrasts, with shadows lightly delineating forms.","The composition is dynamic, with a central focus on the table setting.","The image features an abstract still life with a collection of objects scattered across a table. A mix of angular and curved shapes form a complex arrangement, marked by vibrant colors and bold forms."
/kaggle/working/Images/Abstract Art/0013624_WladyslawStrzeminski-UnistComposition.jpg,Contentment,Positive,Low,"Dominated by warm, saturated yellow tones, the image exudes energy and vibrancy.","There’s minimal light and shadow contrast, emphasizing uniformity across the canvas.","The composition is symmetrical, with a central focus on the rhythmic patterns that radiate outward.","The image presents a vibrant yellow canvas filled with undulating, repetitive patterns that create a subtle, mesmerizing texture. The repetitive shapes create an engaging visual rhythm, evoking a sense of depth and movement across the surface."
